Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,30.86,other
1,2025-09-28,  ACH Deposit Internet transfer from account ending in 0729,2000.0,other
2,2025-08-31,  NEWBURY COMICS #1 5 GUEST ST BRIGHTON 02135 MA USA 2%,21.24,shopping
3,2025-08-31,  TRADER JOE S #510 899 BOYLSTON ST BOSTON 02115 MA USA 2%,18.46,grocery
4,2025-08-31,  SQ *BLUE BOTTLE COFFEE800 Boylston Street Suite 25 Boston 02199 MA USA 2%,9.02,dining
5,2025-08-31,  IKEA STOUGHTON 1 IKEA WAY STOUGHTON 02072 MA USA 2%,181.43,shopping
6,2025-09-01,  STP&SHPFUEL0095 440 RUSSELL ST. HADLEY 01035 MA USA 1%,20.0,utilities
7,2025-09-01,  HARBOR FREIGHT TOOLS30303 RUSSELL STREET HADLEY 01035 MA USA 2%,59.49,shopping
8,2025-09-05,  FAMOUS FAMIGLIA 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,11.0,dining
9,2025-09-05,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,21.72,dining
10,2025-09-06,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,16.5,grocery
11,2025-09-09,  BIG Y 46 AMHERST 175 UNIVERSITY DR AMHERST 01002 MA USA 2%,11.67,grocery
12,2025-09-09,  PLAYA BOWLS - AMHERST 65 UNIVERSITY DR AMHERST 01002 MA USA 2%,13.91,dining
13,2025-09-10,  MOMO 23 N PLEASANT ST AMHURST 01002 MA USA 2%,53.59,dining
14,2025-09-12,  STOCKBRIDGE FLORAL DES201 NATURAL RESOURCES RD 50 WASHINGTON S AMHERST 2%,15.0,shopping
15,2025-09-12,  YUM BAKERY 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,13.25,dining
16,2025-09-12,  SHELL OIL 10005423008 144 THORNDIKE STREET PALMER 01069 MA USA 1%,20.25,utilities
17,2025-09-12,  E-ZPASS MA 27 MIDSTATE DR AUBURN 01501 MA USA 1%,20.0,utilities
18,2025-09-12,  E-ZPASS MA 27 MIDSTATE DR AUBURN 01501 MA USA 1%,60.0,utilities
19,2025-09-12,  774 Lush Newbury St 144 Newbury Street Boston 02116 MA USA 2%,45.74,shopping
20,2025-09-12,  Muji - Newbury Street 359 NEWBURY ST BOSTON 02115 MA USA 2%,6.06,shopping
21,2025-09-12,  SHELL OIL 10005423008 144 THORNDIKE STREET PALMER 01069 MA USA 1%,16.05,utilities
22,2025-09-14,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,43.99,grocery
23,2025-09-14,  SQ *MAPLE VALLEY CREAM102 Mill Valley Rd HADLEY 01035 MA USA 2%,4.75,dining
24,2025-09-16,  TEXAS ROADHOUSE #2507 280 RUSSELL STREET HADLEY 01035 MA USA 2%,53.62,dining
25,2025-09-17,  E-ZPASS MA 680 WINTER ST WALTHAM 02451 MA USA 1%,10.0,utilities
26,2025-09-17,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,5.5,dining
27,2025-09-18,  EXXON GIBBS HADLEY 110 RUSSELL STREET HADLEY 01035 MA USA 2%,20.02,utilities
28,,3% Daily Cash at Exxon Mobil 1%,0.2,other
29,2025-09-18,  HANGAR PUB WINGS AMHER10 UNIVERSITY DR AMHERST 01002 MA USA 1%,50.44,dining
30,2025-09-20,  APPLE.COM/US ONE APPLE PARK WAY 800-676-2775 95014 CA USA 3%,1061.44,shopping
31,2025-09-20,  MCDONALDS F39134 100 LEGENDS WAY BOSTON 02114 MA USA 2%,15.8,dining
32,2025-09-21,  101 MERRIMAC ST 101 MERRIMAC ST BOSTON 02114 MA USA 2%,40.0,utilities
33,2025-09-21,  SQ *GRECO 80 Causeway Street Boston 02114 MA USA 2%,13.7,dining
34,2025-09-21,  THE HUB- MOMOSAN BY MO82 Causeway St. BOSTON 02114 MA USA 1%,25.84,dining
35,2025-09-21,  TD GARDEN F&B 100 LEGENDS WAY BOSTON 02114 MA USA 2%,14.43,entertainment
36,2025-09-22,  SHELL OIL 10009322008 820 MEMORIAL DR CAMBRIDGE 02139 MA USA 1%,10.0,utilities
37,2025-09-23,  ROOTS CAFE 140 HICKS WAY AMHERST 01003 MA USA 2%,3.49,dining
38,2025-09-24,  E-ZPASS MA 680 WINTER ST WALTHAM 02451 MA USA 1%,10.0,utilities
39,2025-09-24,  TAMALES 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,1.5,dining
40,2025-09-25,  E-ZPASS MA 680 WINTER ST WALTHAM 02451 MA USA 1%,10.0,utilities
41,2025-09-25,  IYZICO *gain.tv KUZGUNCUK MAH KUZGUNCUK GAZHANESI SK NO: 2 /1 ISTANBUL 34746 1%,3.61,subscriptions
42,2025-09-26,  HADLEY 44 CORPORATION 458 RUSSELL STREET HADLEY 01035 MA USA 2%,33.78,grocery
43,2025-09-26,  STOP & SHOP 0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,24.6,dining
44,2025-09-27,  TST*BISTRO 63 63 N Pleasant St Address Amherst 01002 MA USA 2%,5.89,dining
45,2025-09-28,  TST*WOODSTAR 2 60 Masonic St STE D Northampton 01060 MA USA 2%,10.27,dining
46,2025-09-28,  URBAN OUTFITTERS 00124109 Main Street NORTHAMPTON 01060-3145MA USA 2%,39.0,shopping
47,2025-09-28,  NEWBURY COMICS #15 38 PLEASANT ST NORTHAMPTON 01060 MA USA 2%,36.28,shopping
48,2025-09-29,  TJMAXX #0136 454 RUSSELL ST HADLEY 01035 MA USA 2%,10.6,shopping
49,2025-09-29,  PLAYA BOWLS - AMHERST 65 UNIVERSITY DR AMHERST 01002 MA USA 2%,9.62,dining
50,,Daily Cash from Apple Card,52.3,other
51,,—,0.0,other
